id;code;status;issue_description;issued_at
1;out-of-the-box Grocery SMTP;BEING_TREATED;HTTP Granite users;2023-02-17T03:42:35
2;Utah Quality blue;DO_NOT_TREAT;invoice Checking;2023-02-16T19:00:32
3;interfaces Expanded;DO_NOT_TREAT;synergies array frame;2023-02-16T09:40:54
4;Applications;DO_NOT_TREAT;Toys;2023-02-17T00:47:22
5;Cotton Investment;BEING_TREATED;collaboration;2023-02-17T02:54:51
6;Computer Investment quantify;RECEIVED;Dakota Generic;2023-02-16T18:54:37
7;Compatible redundant ROI;DO_NOT_TREAT;Movies;2023-02-16T05:51:25
8;wireless;BEING_TREATED;Views;2023-02-16T15:32:11
9;systems Dollar;RECEIVED;mission-critical;2023-02-16T04:08:22
10;harness;RECEIVED;Kids Account;2023-02-16T08:34:26
